vehicle,item,quantitiy,serial,date_purchased,kilometer,description,km_diff,time_diff,time_diff
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,For 3-08296 Battery Purchased,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-08296,battery,1,1454B2S0885,8/12/2014 0:00,93498,GS Battery with Acid Size 55Amp 12V,69715,9 Year Diff. 12 Day,10 Year Diff. 12 Day
AA-3-04873,battery,1,372872090520S1/B,8/24/2020 0:00,53968,Chloride Exide Battery with Acid Size 12V 35Amp,26121,3 Year Diff,4 Year Diff
AA-3-02657,tyre,2,"3717, 3617",3/22/2019 0:00,216424,Ling Long Tyres Tubeless Size 165/80 R13,35177,4 Year Diff. 1 Month .,5 Year Diff. 1 Month .
AA-3-02657,tyre,2,1418*2,12/7/2019 0:00,216424,Triangle Tyre Tubeless Size 165/ R13,35177,4 Year Diff. 1 Month .,5 Year Diff. 1 Month .
AA-3-02657,tyre,2,1418*2,12/7/2019 0:00,14182,Triangle Tyre Tubeless Size 165/ R13,27654,3 Year Diff. 9 Month,4 Year Diff. 9 Month
AA-3-04954,tyre,2,90809142A & 90807948A,8/5/2019 0:00,343391,Addis Tyres Tubeless Size 155/80 R12,279889,3 Year Diff. 11 Month.,4 Year Diff. 11 Month.
AA-3-04954,tyre,2,"4319, 4319",4/25/2020 0:00,343391,Duraturn Tyre Tubeless Size 185 R14,268630,3 Year Diff.,4 Year Diff.
AA-3-04954,tyre,4,"4819, 4719, 4719, 4719",6/14/2021 0:00,343391,Duraturn Tyre Size 155/80 R12,248693,1 Year Diff. 10 Month.,2 Year Diff. 10 Month.
AA-3-04723,battery,1,GD29FE2,5/20/2020 0:00,18673,Yuasa Battery W/Acid Size 12V 35Am,121697,2 Year Diff. 11 Month.,3 Year Diff. 11 Month.
AA-3-A03940,battery,1,9570320962,2/8/2020 0:00,300234,Energizer Battery W/Acid Size 12V 70Amp,67492,3 Year Diff. 3 Month.,4 Year Diff. 3 Month.
AA-3-A03940,battery,1,D050970519,7/23/2018 0:00,300234,3S Battery W/Acid Size 12V 70 Amp,114731,4 Year Diff. 9 Month.,5 Year Diff. 9 Month.
AA-3-A03944,tyre,4,"CCD1617, CCD1717, JKK2917, JKK0817",2/10/2021 0:00,124481,Bridgestone Tyre Tubeless Size 245/75 R16 (All Terrain Tyre),60857,2 years and 3 Month,3 years and 3 Month
AA-3-A03944,tyre,4,4316x2 & 4216x2,2/19/2017 0:00,52761,Aelous Tyres Size 245/75 R16,132577,6 years and 3 month,7 years and 3 month
